run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p,1.9307,4.085628900000001,5652346.419378721,2571681.726445963,6209876.564538103,0.4549759578834572,2.907627522171751,0.1520827142857538
tf_015p,2.6827,4.0587824999999995,6092990.233319885,3051643.9154970776,6814474.342920505,0.5008450364500797,3.159991441846635,0.15061825000003912
tf_015p,3.72759,4.064550500000001,6588750.912101749,3629703.034349719,7522392.086250836,0.5508939528557588,3.554222350464744,0.15346617857146846
tf_015p,5.17947,4.0851494,7184795.284134251,4331854.417407869,8389651.12317156,0.602919672182399,3.8746890512940797,0.15000889285718183
tf_015p,7.19686,4.0952035,7923745.151736244,5196625.188304164,9475792.873284057,0.6558294201531059,4.385081082100302,0.1503093928571819
tf_015p,10.0,4.0669599000000005,8689282.271523777,6182911.640471337,10664521.683980646,0.7115560810740108,5.01512654308921,0.15274414285718255
tf_015p,13.895,4.0678342,9636461.657159092,7420431.087813104,12162408.922531774,0.7700369027360098,5.7441244596790835,0.1534010357143256
tf_015p,19.307,4.0578228,10740351.993186442,8808589.688649012,13890515.225884087,0.820139758383811,6.5507572786604396,0.15317828571432554
tf_015p,26.827,4.0533554,12082887.662844885,10487563.702205727,15999536.45205861,0.867968319729992,7.392152646753938,0.15006782142861042
tf_015p,37.2759,4.0861091,13539941.517274922,12567905.203404423,18473826.281877425,0.9282097110515339,8.472433998629466,0.14896196428575298
tf_015p,51.7947,4.0779309999999995,15189940.414042901,14927321.00180289,21296929.404800106,0.9827109649490643,9.908862772635542,0.15112310714289642
tf_015p,71.9686,4.0645077999999994,17042299.075653546,17512707.846591026,24436343.709812082,1.0276024243471646,11.261935714021828,0.14969278571432462
tf_015p,100.0,4.0296541,19379611.178720135,22622417.258653443,29788304.618809637,1.1673308122659387,13.863221392378497,0.15116192857146785
tf_015p,1.0,11.0973917,3869676.6092084395,973289.9077814646,3990199.2812946294,0.2515171178556328,1.8415655011835628,0.14990517857146754
tf_015p,1.3895,11.0839146,4031472.7124693277,1117323.282916707,4183441.5915526496,0.2771501539526315,1.9643467349590815,0.15251357142861105
tf_015p,1.9307,11.056758799999999,4221487.026913545,1286615.2240893864,4413199.684271939,0.3047777278212008,2.0774210823091344,0.15289560714289688
tf_015p,2.6827,11.0559804,4437947.82322926,1494791.2871107904,4682924.500109698,0.3368203833507691,2.199829323169014,0.15257939285718253
tf_015p,3.72759,11.0341558,4692316.267887434,1758143.8527923152,5010878.342665331,0.3746857100883064,2.352344148713187,0.15247935714289676
tf_015p,5.17947,11.0442526,4987764.905389606,2078517.51775233,5403520.50269447,0.41672323318734533,2.525085504862762,0.15178307142861086
tf_015p,7.19686,11.042066499999999,5297795.481897992,2465738.987848067,5843501.152923032,0.4654273643203549,2.727476846582118,0.1516044642857537
tf_015p,10.0,11.0362131,5716653.653683437,2939728.330657752,6428229.278288385,0.5142393625269889,3.0217646253426325,0.15268392857146826
tf_015p,13.895,11.0345499,6178401.318555027,3531266.8051956766,7116353.567846344,0.5715502478918852,3.339257269610673,0.15241103571432532
tf_015p,19.307,11.0449988,6717302.207328078,4184895.8185684574,7914259.406719396,0.623002462804643,3.7511959531976418,0.15395135714289718
tf_015p,26.827,11.0053368,7334847.08099754,5008151.975212785,8881529.592837365,0.6827888734296117,4.1571243073305855,0.1520300000000395
tf_015p,37.2759,11.0185465,8066804.972974465,5902956.4467083495,9995911.028202543,0.7317589140291014,4.683611678783267,0.15218875000003956
tf_015p,51.7947,11.0083965,8916692.357201362,6953568.336210006,11307498.184802664,0.7798371927224916,5.154722099617604,0.14806853571432418
tf_015p,71.9686,11.0280357,9594894.703480223,8176844.920339178,12606458.551954608,0.8522078848216338,5.66781268213678,0.14603146428575223
tf_015p,100.0,11.0060823,10967300.448588178,10309944.708842361,15052462.889141731,0.9400622110402348,6.883865287859671,0.14854185714289575
tf_015p,1.0,18.305101999999998,3194265.2571142423,621967.9322677926,3254254.8519709683,0.19471392705491525,1.5268382700402992,0.1523931785714682
tf_015p,1.3895,18.327586,3300953.7302411157,673953.6780348767,3369051.6602345943,0.20416938046133964,1.5806755445832252,0.15239092857146816
tf_015p,1.9307,18.346128999999998,3415883.1635640115,740590.4812091155,3495244.2043407536,0.21680790757386725,1.630861148833175,0.15155264285718223
tf_015p,2.6827,18.326487,3543429.9178552977,834725.9397993619,3640420.7143304097,0.23557004347487967,1.7055170140403615,0.15216982142861096
tf_015p,3.72759,18.323735999999997,3680020.611766932,948575.2333634682,3800308.7606640626,0.2577635653263413,1.79002623682531,0.15299053571432547
tf_015p,5.17947,18.367815,3846335.4606179954,1088634.5808422652,3997426.888163567,0.283031626333329,1.8720573045982223,0.15211171428575382
tf_015p,7.19686,18.348229,4012119.5473327436,1276602.7951744914,4210322.78557557,0.3181866293149656,1.966457151175601,0.1517026428571823
tf_015p,10.0,18.35308,4229404.878972909,1500728.4423389724,4487766.8709420515,0.35483205918640187,2.0887636061397137,0.15117607142861073
tf_015p,13.895,18.343111999999998,4465130.406899051,1797482.277008004,4813349.362634336,0.4025598612373612,2.262970148515298,0.1527057857143254
tf_015p,19.307,18.353388,4735214.364479307,2122239.2978778505,5189041.791605483,0.44818230697169625,2.4397123116931128,0.15271282142861112
tf_015p,26.827,18.342363,5046966.76850083,2485726.0250716684,5625896.144977288,0.492518801705928,2.6345828678690872,0.15210525000003952
tf_015p,37.2759,18.356265,5418417.001188375,2968550.751028191,6178311.772660656,0.5478631028909594,2.863821859532354,0.1505567500000391
tf_015p,51.7947,18.354123,5785102.610506487,3525572.5826500524,6774737.946933647,0.6094226533246205,3.1082543293716314,0.14902121428575302
