run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p_high,0.013895,38.98886999999999,2698616.1659886916,303728.79658442206,2715654.68961172,0.11254983217413024,1.023334999517336,0.12239603053445537
tf_015p_high,0.019307,38.992636,2774690.0099935904,316363.2378484084,2792667.2465261878,0.11401750707609287,1.0250069990666029,0.1192152162850888
tf_015p_high,0.026827,38.967918999999995,2850853.722501078,333888.67227808025,2870339.4559831894,0.11711883694444936,1.0948819980750406,0.12389623409679763
tf_015p_high,0.0372759,38.979637,2937630.296153586,351664.4992526118,2958604.3461257196,0.11971026432872339,1.123511996186322,0.12334310432580478
tf_015p_high,0.0517947,38.971818,2999754.899848837,356479.8538098675,3020862.020241807,0.11883632687051571,1.1567379924191887,0.12437358778636545
tf_015p_high,0.07196859,38.97010999999999,3080455.412016375,374739.5246917189,3103165.360851263,0.12165068944998153,1.182290985040385,0.1237495165395456
tf_015p_high,0.09999999,39.005488,3168360.144909241,382955.46548951784,3191419.8871971704,0.12086866643138126,1.2149279703202325,0.12364900763369309
tf_015p_high,0.13895,38.97466,3237347.7384172827,392651.3749275705,3261072.7501342264,0.1212879822170525,1.2480319411355807,0.12430519083980052
tf_015p_high,0.19307,38.94430799999999,3329622.679822993,424606.4966476227,3356587.235122456,0.127523908105466,1.55850185807889,0.15081114503829637
tf_015p_high,0.26827,39.003045,3417271.197354642,420633.24165442726,3443061.8292813655,0.12309038919124868,1.5936317198166638,0.15033745547086594
tf_015p_high,0.372759,38.970768,3502413.426368287,437760.9902742565,3529664.926563248,0.12498838286152258,1.6257924481366322,0.1496082951655218
tf_015p_high,0.517947,38.966876,3592500.4919279474,443788.9298012877,3619807.7847748655,0.12353204426789777,1.6775149006212031,0.15052371501285083
tf_015p_high,0.719686,38.980217999999994,3682729.840142583,454518.69856880605,3710671.9503110615,0.12341896318715809,1.7264568154981348,0.15112183206119742
tf_015p_high,1.0,39.00058799999999,3781606.6314897956,460267.54790335614,3809513.739439795,0.12171216965579254,1.760038700347867,0.15006407124694715
tf_015p_high,1.3895,38.97160099999999,3881296.101282055,473221.2912778306,3910038.0837462363,0.12192352217639821,1.824034396756478,0.1515221374047092
tf_015p_high,1.9307,38.984061,3995220.6420062734,476706.9959071231,4023560.306278484,0.11931931640895205,1.85938706779976,0.15010091603066217
tf_015p_high,2.6827,38.982612,4112661.197148076,486137.77384712955,4141293.5246959357,0.11820515975987561,1.9516066873552855,0.15306656488562656
tf_015p_high,3.72759,39.015421,4220382.332465179,495002.1486328938,4249312.198384041,0.11728846100627018,1.992502363690149,0.15230152671768696
tf_015p_high,5.17947,38.996654,4344697.448555376,519352.09353557864,4375628.242497684,0.11953699876346158,2.029504985412795,0.1506516030535634
tf_015p_high,7.19686,38.985811,4472404.954032782,524166.06303793413,4503016.337356291,0.11720004526094889,2.077600086394808,0.1498588804072523
tf_015p_high,10.0,38.981443,4576742.182885149,557188.8104375016,4610534.500367291,0.12174354337046217,2.147337293533762,0.15127704834618483
tf_015p_high,13.895,38.97221,4719234.8578396905,572500.9880510116,4753833.718670499,0.12131224770472297,2.1934159697759243,0.14986529262099277
tf_015p_high,19.307,38.94659,4819125.160250076,605984.622756663,4857075.73269893,0.1257457738917113,2.291158711634251,0.1532160814250669
tf_015p_high,26.827,38.978201999999996,4945736.000690656,642004.6576266747,4987231.152547669,0.12980973055112946,2.3238152042382896,0.15134432569987444
tf_015p_high,37.2759,38.96849999999999,5051636.529227172,653980.2881162347,5093792.481115317,0.12945909396539348,2.3715315938537644,0.1512208651400779
tf_015p_high,51.7947,38.967569,5112721.421469854,655016.20791294,5154509.342913773,0.1281149810279766,2.408001786541442,0.15173770992379335
tf_015p_high,100.0,38.948025,5171667.940480401,741381.7030483087,5224537.885421791,0.14335446737507304,2.6070635809101734,0.16207938931311514
tf_015p_high,0.01,45.95292499999999,2458283.727837633,276936.49079574517,2473833.605254313,0.11265440504678657,1.1270499997246703,0.14797786259554588
tf_015p_high,0.013895,45.996731,2557994.4577872655,275312.0275334491,2572767.451320648,0.1076280781982622,0.9676746995435885,0.12216671755735596
tf_015p_high,0.019307,45.980337,2625497.620201634,295127.1941991591,2642032.8942767372,0.11240809815569128,0.968579699117987,0.11907516539450345
tf_015p_high,0.026827,45.980953,2687602.9302639524,307765.53839788475,2705167.1181996725,0.11451302382962456,1.035191998179984,0.1242941984733883
tf_015p_high,0.0372759,45.997788,2763939.7070096275,304302.7194855925,2780640.72635621,0.11009745209486675,1.0594049964039283,0.12374885496193745
tf_015p_high,0.0517947,45.906298,2828404.3083912027,321418.7044866215,2846608.669156998,0.11363958947914506,1.087836992870739,0.12412524173038561
